
Quadro extraído em 04 de Outubro de 2023 (23:52:46)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;Período de referência dos dados;;;;;;;;;;
;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
16I1408: Constância;2;2;2;2;2;2;2;2;2;2;0;? ?;? ?;? ?;? ?;24852;? ?;? ?;? ?;? ?;
16I1410: Entroncamento;1;1;1;1;1;1;1;1;0;0;0;31001;20332;69589;54022;46970;47256;36928;0;0;
16I1411: Ferreira do Zêzere;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16I1413: Mação;1;1;1;1;1;1;1;1;1;1;0;1851;2430;9456;5435;10305;10255;6234;? ?;? ?;
16I1421: Ourém;2;2;4;2;2;3;3;2;3;2;0;? ?;15685;? ?;? ?;23487;17790;? ?;23160;? ?;
16I1417: Sardoal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16I0509: Sertã;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16I1418: Tomar;2;2;1;1;1;1;1;1;1;0;0;16062;601;1786;1333;? ?;2502;1935;? ?;0;
16I1419: Torres Novas;1;2;2;2;2;2;2;2;2;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
16I0510: Vila de Rei;1;1;1;1;1;0;0;0;0;0;0;498;820;2294;893;0;0;0;0;0;
16I1420: Vila Nova da Barquinha;1;1;1;1;0;0;0;0;0;0;0;2984;3356;5399;0;0;0;0;0;0;
16J: Beiras e Serra da Estrela;16;15;14;19;18;16;15;13;14;11;0;99506;58485;256238;158364;135367;113194;92896;100721;72478;
16J0902: Almeida;1;1;1;1;1;1;1;1;1;1;0;6588;6098;10725;9659;16567;17386;15587;? ?;? ?;
16J0501: Belmonte;2;2;2;4;3;3;2;2;2;0;0;15519;11755;78078;43650;33033;23691;18389;? ?;0;
16J0903: Celorico da Beira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16J0503: Covilhã;3;3;2;3;3;3;2;1;2;1;0;14498;12625;41169;42545;35451;27782;12376;? ?;12199;
16J0904: Figueira de Castelo Rodrigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16J0905: Fornos de Algodres;0;0;0;0;1;1;1;0;0;0;0;0;0;0;696;819;960;0;0;0;
16J0504: Fundão;1;1;1;1;1;1;1;1;1;1;0;1480;? ?;1792;2582;3200;3000;? ?;? ?;1249;
16J0906: Gouveia;2;1;2;3;3;3;3;3;2;3;0;2108;? ?;6089;5619;6604;6956;6899;? ?;? ?;
16J0907: Guarda;2;2;2;1;1;2;3;2;1;1;0;8159;6453;20519;23633;23985;16330;16830;? ?;15878;
